Grupo de edad,Acceso del hogar a olla común,Personas,Porcentaje dentro del grupo
18 a 29,No obtuvo alimentos de olla común,18261,99.8
18 a 29,Sí obtuvo alimentos de olla común,40,0.2
30 a 59,No obtuvo alimentos de olla común,40842,99.7
30 a 59,Sí obtuvo alimentos de olla común,113,0.3
60 a más,No obtuvo alimentos de olla común,19208,99.9
60 a más,Sí obtuvo alimentos de olla común,28,0.1
Menor de 18,No obtuvo alimentos de olla común,33471,99.7
Menor de 18,Sí obtuvo alimentos de olla común,115,0.3
