Variable,Unidad de análisis,Qué mide,Codificación,Casos válidos,Datos perdidos (%)
piso_tierra,Hogar,Presencia de piso de tierra.,1 = Sí; 0 = No,33340,1
agua_no_red_publica,Hogar,Agua fuera de una red pública.,1 = Sí; 0 = No,33691,0
saneamiento_no_red_publica,Hogar,Saneamiento fuera de una red pública.,1 = Sí; 0 = No,33691,0
sin_internet,Hogar,Ausencia de conexión a internet.,1 = Sí; 0 = No,33691,0
n_indicadores_validos,Hogar,Cantidad de indicadores disponibles.,Valores de 0 a 4,33691,0
indice_vulnerabilidad_simple,Hogar,Número de privaciones materiales.,Valores de 0 a 4,33691,0
nivel_vulnerabilidad,Hogar,Nivel de vulnerabilidad material.,Baja; Media; Alta,33691,0
acceso_olla_clasificado,Hogar,Acceso a alimentos de olla común.,Accedió; No accedió,33691,0
tipologia_olla_vulnerabilidad,Hogar,Combinación entre acceso y vulnerabilidad.,Cuatro categorías,33691,0
